symbol,date,price
SER2,May 2007,69.14
SER2,Jun 2007,68.41
SER2,Jul 2007,78.54
SER2,Aug 2007,79.91
SER2,Sep 2007,93.15
SER2,Oct 2007,89.15
SER2,Nov 2007,90.56
SER2,Dec 2007,92.64
SER2,Jan 2008,77.7
SER2,Feb 2008,64.47
SER2,Mar 2008,71.3
SER2,Apr 2008,78.63
SER2,May 2008,81.62
SER2,Jun 2008,73.33
SER2,Jul 2008,76.34
SER2,Aug 2008,80.81
SER2,Sep 2008,72.76
SER2,Oct 2008,57.24
SER2,Nov 2008,42.7
SER2,Dec 2008,51.28
SER2,Jan 2009,58.82
SER2,Feb 2009,64.79
SER2,Mar 2009,73.44
SER2,Apr 2009,80.52
SER2,May 2009,77.99
SER2,Jun 2009,83.66
SER2,Jul 2009,85.76
SER2,Aug 2009,81.19
SER2,Sep 2009,93.36
SER2,Oct 2009,118.81
SER2,Nov 2009,135.91
SER2,Dec 2009,134.52
SER2,Jan 2010,125.41
SER2,Feb 2010,118.4
SER2,Mar 2010,128.82
SER3,Jan 2000,100.52
SER3,Feb 2000,92.11
SER3,Mar 2000,106.11
SER3,Apr 2000,99.95
SER3,May 2000,96.31
SER3,Jun 2000,98.33
SER3,Jul 2000,100.74
SER3,Aug 2000,118.62
SER3,Sep 2000,101.19
SER3,Oct 2000,88.5
SER3,Nov 2000,84.12
SER3,Dec 2000,76.47
SER3,Jan 2001,100.76
SER3,Feb 2001,89.98
SER3,Mar 2001,86.63
SER3,Apr 2001,103.7
SER3,May 2001,100.82
SER3,Jun 2001,102.35
SER3,Jul 2001,94.87
SER3,Aug 2001,90.25
SER3,Sep 2001,82.82
SER3,Oct 2001,97.58
SER3,Nov 2001,104.5
SER3,Dec 2001,109.36
SER3,Jan 2002,97.54
SER3,Feb 2002,88.82
SER3,Mar 2002,94.15
SER3,Apr 2002,75.82
SER3,May 2002,72.97
SER3,Jun 2002,65.31
SER3,Jul 2002,63.86
SER3,Aug 2002,68.52
SER3,Sep 2002,53.01
SER3,Oct 2002,71.76
SER3,Nov 2002,79.16
SER3,Dec 2002,70.58
SER3,Jan 2003,71.22
SER3,Feb 2003,71.13
SER3,Mar 2003,71.57
SER3,Apr 2003,77.47
SER3,May 2003,80.48
SER3,Jun 2003,75.42
SER3,Jul 2003,74.28
SER3,Aug 2003,75.12
SER3,Sep 2003,80.91
SER3,Oct 2003,81.96
SER3,Nov 2003,83.08
SER3,Dec 2003,85.05
SER3,Jan 2004,91.06
SER3,Feb 2004,88.7
SER3,Mar 2004,84.41
SER3,Apr 2004,81.04
SER3,May 2004,81.59
SER3,Jun 2004,81.19
SER3,Jul 2004,80.19
SER3,Aug 2004,78.17
SER3,Sep 2004,79.13
SER3,Oct 2004,82.84
SER3,Nov 2004,87.15
SER3,Dec 2004,91.16
SER3,Jan 2005,86.39
SER3,Feb 2005,85.78
SER3,Mar 2005,84.66
SER3,Apr 2005,70.77
SER3,May 2005,70.18
SER3,Jun 2005,68.93
SER3,Jul 2005,77.53
SER3,Aug 2005,75.07
SER3,Sep 2005,74.7
SER3,Oct 2005,76.25
SER3,Nov 2005,82.98
SER3,Dec 2005,76.73
SER3,Jan 2006,75.89
SER3,Feb 2006,75.09
SER3,Mar 2006,77.17
SER3,Apr 2006,77.05
SER3,May 2006,75.04
SER3,Jun 2006,72.15
SER3,Jul 2006,72.7
SER3,Aug 2006,76.35
SER3,Sep 2006,77.26
SER3,Oct 2006,87.06
SER3,Nov 2006,86.95
SER3,Dec 2006,91.9
SER3,Jan 2007,93.79
SER3,Feb 2007,88.18
SER3,Mar 2007,89.44
SER3,Apr 2007,96.98
SER3,May 2007,101.54
SER3,Jun 2007,100.25
SER3,Jul 2007,105.4
SER3,Aug 2007,111.54
SER3,Sep 2007,112.6
SER3,Oct 2007,111
SER3,Nov 2007,100.9
SER3,Dec 2007,103.7
SER3,Jan 2008,102.75
SER3,Feb 2008,109.64
SER3,Mar 2008,110.87
SER3,Apr 2008,116.23
SER3,May 2008,125.14
SER3,Jun 2008,114.6
SER3,Jul 2008,123.74
SER3,Aug 2008,118.16
SER3,Sep 2008,113.53
SER3,Oct 2008,90.24
SER3,Nov 2008,79.65
SER3,Dec 2008,82.15
SER3,Jan 2009,89.46
SER3,Feb 2009,90.32
SER3,Mar 2009,95.09
SER3,Apr 2009,101.29
SER3,May 2009,104.85
SER3,Jun 2009,103.01
SER3,Jul 2009,116.34
SER3,Aug 2009,117
SER3,Sep 2009,118.55
SER3,Oct 2009,119.54
SER3,Nov 2009,125.79
SER3,Dec 2009,130.32
SER3,Jan 2010,121.85
SER3,Feb 2010,127.16
SER3,Mar 2010,125.55
SER,Jan 2000,25.94
SER,Feb 2000,28.66
SER,Mar 2000,33.95
SER,Apr 2000,31.01
SER,May 2000,21
SER,Jun 2000,26.19
SER,Jul 2000,25.41
SER,Aug 2000,30.47
SER,Sep 2000,12.88
SER,Oct 2000,9.78
SER,Nov 2000,8.25
SER,Dec 2000,7.44
SER,Jan 2001,10.81
SER,Feb 2001,9.12
SER,Mar 2001,11.03
SER,Apr 2001,12.74
SER,May 2001,9.98
SER,Jun 2001,11.62
SER,Jul 2001,9.4
SER,Aug 2001,9.27
SER,Sep 2001,7.76
SER,Oct 2001,8.78
SER,Nov 2001,10.65
SER,Dec 2001,10.95
SER,Jan 2002,12.36
SER,Feb 2002,10.85
SER,Mar 2002,11.84
SER,Apr 2002,12.14
SER,May 2002,11.65
SER,Jun 2002,8.86
SER,Jul 2002,7.63
SER,Aug 2002,7.38
SER,Sep 2002,7.25
SER,Oct 2002,8.03
SER,Nov 2002,7.75
SER,Dec 2002,7.16
SER,Jan 2003,7.18
SER,Feb 2003,7.51
SER,Mar 2003,7.07
SER,Apr 2003,7.11
SER,May 2003,8.98
SER,Jun 2003,9.53
SER,Jul 2003,10.54
SER,Aug 2003,11.31
SER,Sep 2003,10.36
SER,Oct 2003,11.44
SER,Nov 2003,10.45
SER,Dec 2003,10.69
SER,Jan 2004,11.28
SER,Feb 2004,11.96
SER,Mar 2004,13.52
SER,Apr 2004,12.89
SER,May 2004,14.03
SER,Jun 2004,16.27
SER,Jul 2004,16.17
SER,Aug 2004,17.25
SER,Sep 2004,19.38
SER,Oct 2004,26.2
SER,Nov 2004,33.53
SER,Dec 2004,32.2
SER,Jan 2005,38.45
SER,Feb 2005,44.86
SER,Mar 2005,41.67
SER,Apr 2005,36.06
SER,May 2005,39.76
SER,Jun 2005,36.81
SER,Jul 2005,42.65
SER,Aug 2005,46.89
SER,Sep 2005,53.61
SER,Oct 2005,57.59
SER,Nov 2005,67.82
SER,Dec 2005,71.89
SER,Jan 2006,75.51
SER,Feb 2006,68.49
SER,Mar 2006,62.72
SER,Apr 2006,70.39
SER,May 2006,59.77
SER,Jun 2006,57.27
SER,Jul 2006,67.96
SER,Aug 2006,67.85
SER,Sep 2006,76.98
SER,Oct 2006,81.08
SER,Nov 2006,91.66
SER,Dec 2006,84.84
SER,Jan 2007,85.73
SER,Feb 2007,84.61
SER,Mar 2007,92.91
SER,Apr 2007,99.8
SER,May 2007,121.19
SER,Jun 2007,122.04
SER,Jul 2007,131.76
SER,Aug 2007,138.48
SER,Sep 2007,153.47
SER,Oct 2007,189.95
SER,Nov 2007,182.22
SER,Dec 2007,198.08
SER,Jan 2008,135.36
SER,Feb 2008,125.02
SER,Mar 2008,143.5
SER,Apr 2008,173.95
SER,May 2008,188.75
SER,Jun 2008,167.44
SER,Jul 2008,158.95
SER,Aug 2008,169.53
SER,Sep 2008,113.66
SER,Oct 2008,107.59
SER,Nov 2008,92.67
SER,Dec 2008,85.35
SER,Jan 2009,90.13
SER,Feb 2009,89.31
SER,Mar 2009,105.12
SER,Apr 2009,125.83
SER,May 2009,135.81
SER,Jun 2009,142.43
SER,Jul 2009,163.39
SER,Aug 2009,168.21
SER,Sep 2009,185.35
SER,Oct 2009,188.5
SER,Nov 2009,199.91
SER,Dec 2009,210.73
SER,Jan 2010,192.06
SER,Feb 2010,204.62
SER,Mar 2010,223.02
